id,link,title,author,image_link,publisher,description,genre,format,subject,audience,collection
758948,http://catalog.douglascountylibraries.org//Record/758948,Collected,Massive Attack (Musical group),http://catalog.douglascountrylibraries.org/bookcover.php?isn=null&upc=094636006826&id=758948&size=small,"Virgin,","Massive Attack are one of the biggest bands in the world of electronic music with their brand of innovative and dark mix of hip-hop, samples and melodies. Their best work to date has been put together in this best of collection.",Electronic music;Underground dance music;Rhythm and blues music;Dance music;Alternative rock music;Rock music;Dance-Pop music;Trance (Underground dance music),Music CD,,Adult,Music
760136,http://catalog.douglascountylibraries.org//Record/760136,Hawks from every angle :how to identify raptors in flight,"Liguori, Jerry, 1966-",http://catalog.douglascountrylibraries.org/bookcover.php?isn=0691118248&upc=9780691118246&id=760136&size=small,"Princeton University Press,",,,Book,Falconiformes North America Identification;Falconiformes Flight North America Pictorial works,,Books
762449,http://catalog.douglascountylibraries.org//Record/762449,Disney learning,,http://catalog.douglascountrylibraries.org/bookcover.php?isn=1573505145&upc=044702014330&id=762449&size=small,"Disney Interactive,",,,CD,"Education, Elementary Activity programs Juvenile literature;Educational games Juvenile literature;Education, Elementary Juvenile literature;Education, Elementary Parent participation Juvenile literature;Mathematics Study and teaching (Elementary) Juvenile literature;Reading Parent participation Juvenile literature;Personal computers Interactive multimedia CD-ROMs;Macintosh (Computer) Juvenile interactive multimedia CD-ROMs",Juvenile,Other
762920,http://catalog.douglascountylibraries.org//Record/762920,Sylvia Browne's Tools for life,"Browne, Sylvia",http://catalog.douglascountrylibraries.org/bookcover.php?isn=1401901352&upc=9781401901356&id=762920&size=small,"Hay House Audio,",,,CD,Parapsychology;Visualization;Intuition;Hypnotism;Spiritualism;Meditation,,Audio Book
763479,http://catalog.douglascountylibraries.org//Record/763479,Arthur's missing pal,,http://catalog.douglascountrylibraries.org/bookcover.php?isn=null&upc=031398198390&id=763479&size=small,"Lions Gate Entertainment,","In Arthur's first-ever movie, Arthur's dog Pal disappears and Arthur must enlist the help of Buster and the gang to track him down. While Pal finds his freedom, Arthur discovers how much he misses his dog. Will he find Pal and learn responsibility?",,DVD,Arthur (Fictitious character : Brown) Juvenile drama;Aardvark Juvenile drama,,DVD
765352,http://catalog.douglascountylibraries.org//Record/765352,Elizabeth I,"Home Box Office (Firm);HBO Films;Irons, Jeremy, 1948-;Dancy, Hugh, 1975-;McDiarmid, Ian;Mirren, Helen;HBO Video (Firm)",http://catalog.douglascountrylibraries.org/bookcover.php?isn=0783142722&upc=026359333521&id=765352&size=small,"Home Box Office,","Explores the intersection of the private and public life of Elizabeth I in the latter half of her reign, offering a personal look at her allies, her enemies, and her suitors as she struggles to survive in a male-dominated world.",Films for the hearing impaired,DVD,"Elizabeth I, Queen of England, 1533-1603 Drama",Adult,DVD
768069,http://catalog.douglascountylibraries.org//Record/768069,The period book :everything you don't want to ask (but need to know),"Gravelle, Karen",http://catalog.douglascountrylibraries.org/bookcover.php?isn=0802780725&upc=&id=768069&size=small,"Walker & Co.,","Explains what happens at the onset of menstruation, discussing what to wear, going to the gynecologist, and how to handle various problems.",,Book,Menstruation Juvenile literature;Teenage girls Health and hygiene Juvenile literature,Juvenile,Books
769153,http://catalog.douglascountylibraries.org//Record/769153,Colorado's ghost towns & mining camps,"Wright, David;Universal Systems, Inc",http://catalog.douglascountrylibraries.org/bookcover.php?isn=null&upc=&id=769153&size=small,"Universal Systems, Inc. ;",,Documentary films;Historical films,DVD,Mines and mineral resources Colorado History,General,DVD
770973,http://catalog.douglascountylibraries.org//Record/770973,Yeah right!,"Jonze, Spike;Rhino Transport (Firm);Weincheque, Cory;Evans, Ty",http://catalog.douglascountrylibraries.org/bookcover.php?isn=null&upc=603497024728&id=770973&size=small,"Rhino,","Some of the world's best skateboarders, including the Girl Skateboard Team, show off their chops.",Documentary films;Sports films,DVD,Skateboarding;Skateboarders,Adult,DVD
771509,http://catalog.douglascountylibraries.org//Record/771509,Live at Texas Stadium,,http://catalog.douglascountrylibraries.org/bookcover.php?isn=null&upc=&id=771509&size=small,,,,,,,
771728,http://catalog.douglascountylibraries.org//Record/771728,Will you be my friend? :a Bunny and Bird story,"Tafuri, Nancy",http://catalog.douglascountrylibraries.org/bookcover.php?isn=0590637827&upc=&id=771728&size=small,"Scholastic Press,","Bird comes to feel less shy when Bunny helps her rebuild her ruined nest, showing her what a good friend can be.",,Storytime Materials,Rabbits Juvenile fiction;Birds Juvenile fiction;Friendship Juvenile fiction;Storytime materials (For staff use in library),Juvenile,Other
772866,http://catalog.douglascountylibraries.org//Record/772866,Pirate Pete's giant adventure,"Kennedy, Doug;Kennedy, Kim",http://catalog.douglascountrylibraries.org/bookcover.php?isn=9780810959651&upc=&id=772866&size=small,"Abrams Books for Young Readers,",A sea-fairy promises Pirate Pete a ship of his own if he can return the sea-fairy sapphire to the sea.,,Picture Book,Pirates Juvenile fiction;Parrots Juvenile fiction;Giants Juvenile fiction;Wishes Juvenile fiction,Juvenile,Books
